"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"OLD_EGEQ01";"K101_02";"OLD_EGEQ02";"OLD_EGEQ03";"OLD_EGEQ04";"OLD_EGEQ05";"OLD_EGEQ06";"OLD_EGEQ07";"OLD_EGEQ08";"OLD_EGEQ09";"OLD_EGEQ10";"OLD_EGEQ11";"OLD_EGEQ12";"OLD_EGEQ13";"OLD_EGEQ14";"K101_16";"K101_17";"K102_01";"K102_02";"K102_03";"K102_04";"K102_05";"K102_06";"K102_07";"K102_08";"K102_09";"K102_10";"K102_11";"K102_12";"K102_13";"K102_14";"K102_15";"K102_16";"K102_17";"FG01_01";"FG02_01";"FG03_01";"FG04_01";"FG05_01";"F_VALENZ";"F_AROUSAL";"F105_01";"F106_01";"ID02";"ID02s";"ID03";"PID";"GDSPD01";"GDSPD02";"GDSPD03";"GDSPD04";"GDSPD05";"GDSPD06";"GDSPD07";"GDSPD08";"GDSPD10";"RB_UNTERHALTEN";"RB_ZEIT";"RB_INTERESSE";"RB_VERSTEHEN";"RB_VERSTANDEN";"RB_FREUNDE";"IOS_M";"IOS_F";"B109";"RB_ERFAHRUNG";"B111";"EXC_NR";"B201_01";"B201_02";"B201_03";"B201_04";"B201_05";"B201_06";"QF01";"QF02_01";"QF03_01";"QF04_01";"QF05";"QF06";"QF07";"QF08_01";"QF09";"QF10";"QF11_01";"QF12_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
740;;"737";"Eltern_Uebung";"admin";2020-03-27 11:05:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;39;65;39;1;;;;;;;;"MiSa2410";;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;1;2;1;4;;;;;;;8;;2020-03-27 11:05:23;1;0;4;4;0;0;1;0
741;;"737";"Eltern_Uebung";"admin";2020-03-27 11:05:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;40;70;34;2;;;;;;;;"MiSa2410";;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;;2;2;1;5;;;;;;;10;;2020-03-27 11:05:33;1;0;4;4;0;0;0,83;0
742;;"737";"Eltern_Uebung";"admin";2020-03-27 11:05:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;41;77;40;4;;;;;;;;"MiSa2410";;;;;;;;;;;;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;2;2;1;3;;;;;;;8;;2020-03-27 11:05:41;1;0;4;4;0;0;0,96;4
743;;"737";"Eltern_Uebung";"admin";2020-03-27 11:05:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;45;66;24;4;;;;;;;;"MiSa2410";;;;;;;;;;;;;;;;;;;;;"6";;;;;;;;;;;;;;;;;;;1;3;1;3;;;;;;;8;;2020-03-27 11:05:49;1;0;4;4;0;0;1;4
744;;;"Kinder_full";"admin";2020-03-27 11:06:28;;;;;;;;;;;;;;;;;;4;1;1;2;5;2;3;2;4;2;4;5;5;1;2;3;2;;;;;;83;77;83;76;4;;1;"GaSa2405";69;77;75;68;86;77;87;69;79;3;4;3;4;3;4;1;;2;2;1;;;;;;;;3;72;"f";"f";4;1;3;"f";2;3;"f";"f";5;3;6;7;5;9;11;6;4;10;0;;2020-03-27 11:07:34;1;0;10;10;0;0;;100
745;;;"Kinder_full";"admin";2020-03-27 11:07:39;;;;;;;;;;;;;;;;;;2;2;1;5;4;3;3;5;5;2;2;1;5;3;3;3;5;;;;;;86;40;75;73;5;;2;"MiSa2410";28;30;87;81;72;56;13;76;74;2;5;3;4;2;4;;3;1;2;4;;;;;;;;2;72;"f";"f";5;3;3;"f";1;1;"f";"d";6;2;5;10;5;7;14;5;4;4;0;;2020-03-27 11:08:41;1;0;10;10;0;0;;100
746;;;"Eltern_full";"admin";2020-03-27 11:55:59;4;4;3;4;2;3;4;3;4;3;5;4;2;2;4;3;2;;;;;;;;;;;;;;;;;;64;;64;;3;;;;;;"MaMa1010";1;"MaMa1010";36;73;79;71;75;66;37;31;77;;;;;;;;;;;;;5;4;2;4;3;4;;;;;;;;;;;;;13;;3;;1;10;8;11;;;0;;2020-03-27 11:57:44;1;0;8;8;0;0;;100
747;;"746";"Eltern_Uebung";"admin";2020-03-27 11:56:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;66;79;88;2;;;;;;;;"MaMa1010";;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;8;3;1;5;;;;;;;10;;2020-03-27 11:56:32;1;0;4;4;0;0;0,65;0
748;;"746";"Eltern_Uebung";"admin";2020-03-27 11:56:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;79;91;43;1;;;;;;;;"MaMa1010";;;;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;1;3;1;6;;;;;;;11;;2020-03-27 11:56:43;1;0;4;4;0;0;0,83;0
749;;"746";"Eltern_Uebung";"admin";2020-03-27 11:56:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;68;73;45;2;;;;;;;;"MaMa1010";;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;1;2;2;4;;;;;;;8;;2020-03-27 11:56:52;1;0;4;4;0;0;0,88;0
750;;"746";"Eltern_Uebung";"admin";2020-03-27 11:56:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;39;74;40;4;;;;;;;;"MaMa1010";;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;;1;2;1;3;;;;;;;7;;2020-03-27 11:56:59;1;0;4;4;0;0;1,08;4
751;;"746";"Eltern_Uebung";"admin";2020-03-27 11:56:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;62;83;61;4;;;;;;;;"MaMa1010";;;;;;;;;;;;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;1;3;1;3;;;;;;;8;;2020-03-27 11:57:07;1;0;4;4;0;0;1;4
752;;"746";"Eltern_Uebung";"admin";2020-03-27 11:57:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;44;79;44;4;;;;;;;;"MaMa1010";;;;;;;;;;;;;;;;;;;;;"6";;;;;;;;;;;;;;;;;;;1;3;1;2;;;;;;;7;;2020-03-27 11:57:14;1;0;4;4;0;0;1,17;13
753;;;"Kinder_full";"admin";2020-03-27 11:57:50;;;;;;;;;;;;;;;;;;5;2;5;1;2;3;2;4;5;1;4;3;5;2;2;4;1;;;;;;74;37;70;71;;"MaMa1010";1;"MaMa1010";74;75;31;79;73;21;26;69;73;4;2;3;2;3;4;;1;1;1;2;;;;;;;;3;68;"f";"f";1;2;1;"ff";2;2;"f";"f";4;3;4;8;6;9;12;5;5;6;0;;2020-03-27 11:58:52;1;0;10;10;0;0;;100
754;;;"Eltern_full";"admin";2020-03-27 11:58:59;4;2;4;2;4;5;3;2;3;5;4;5;3;2;5;4;2;;;;;;;;;;;;;;;;;;31;;57;;1;;;;;;"GaGa1212";2;"GaGa1212";35;42;70;41;29;26;20;31;26;;;;;;;;;;;;;4;3;1;2;1;5;;;;;;;;;;;;;10;;4;;1;9;7;12;;;0;;2020-03-27 12:00:36;1;0;8;8;0;0;;100
755;;"754";"Eltern_Uebung";"admin";2020-03-27 11:59:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;60;101;64;1;;;;;;;;"GaGa1212";;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;7;;2020-03-27 11:59:21;1;0;4;4;0;0;1;13
756;;"754";"Eltern_Uebung";"admin";2020-03-27 11:59:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;41;82;46;3;;;;;;;;"GaGa1212";;;;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;2;2;1;5;;;;;;;10;;2020-03-27 11:59:31;1;0;4;4;0;0;0,83;0
757;;"754";"Eltern_Uebung";"admin";2020-03-27 11:59:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;39;79;48;3;;;;;;;;"GaGa1212";;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;1;2;2;7;;;;;;;11;;2020-03-27 11:59:43;1;0;4;4;0;0;0,77;0
758;;"754";"Eltern_Uebung";"admin";2020-03-27 11:59:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;42;86;43;4;;;;;;;;"GaGa1212";;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;;1;2;1;4;;;;;;;8;;2020-03-27 11:59:52;1;0;4;4;0;0;1;0
759;;"754";"Eltern_Uebung";"admin";2020-03-27 11:59:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;78;70;78;4;;;;;;;;"GaGa1212";;;;;;;;;;;;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;2;3;1;3;;;;;;;9;;2020-03-27 12:00:01;1;0;4;4;0;0;0,88;4
760;;"754";"Eltern_Uebung";"admin";2020-03-27 12:00:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;72;39;60;2;;;;;;;;"GaGa1212";;;;;;;;;;;;;;;;;;;;;"6";;;;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;6;;2020-03-27 12:00:07;1;0;4;4;0;0;1,25;13
761;;;"Kinder_full";"admin";2020-03-27 12:03:09;;;;;;;;;;;;;;;;;;5;3;4;1;1;2;3;1;5;3;2;4;3;5;3;3;2;;;;;;82;29;65;66;;"GaGa1212";2;"GaGa1212";29;28;33;80;33;29;21;32;26;4;2;3;2;3;3;1;;2;1;1;;;;;;;;1;19;"e";"e";4;3;2;"w";2;3;"w";"w";3;3;4;5;3;8;12;6;4;4;0;;2020-03-27 12:04:01;1;0;10;10;0;0;;100
